Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ОАО ""Старт Телеком"" ";"ОАО ""Старт Телеком"" ";ООО;7703261915;770301001;;;ЮЛ;123557, г. Москва, Пресненский вал, д. 14  ;Да;Нет;;;;;;;
"АО ""Квантум""";"АО ""Квантум""";АО;7825098536;780101001;;;ЮЛ;199048, Санкт-Петербург, Набережная реки Смоленки ул.д.19-21, корп.литер Б;Да;Нет;;;;;;;
"ООО ""Ресурс-Связь""";"ООО ""Ресурс-Связь""";ООО;5753031857;575301001;;;ЮЛ;302040, г. Орел, ул. Лескова 19 А;Да;Нет;;;;;;;
"ООО ""Проттон""";"ООО ""Проттон""";ООО;7714053667;771401001;;;ЮЛ;123007, Россия, г. Москва, ул. Магистральная 1-я,  дом № 22, корп. 1;Да;Нет;;;;;;;
"ООО ""Кредитал+""";"ООО ""Кредитал+""";ООО;5752010011;575301001;;;ЮЛ;302028, г. Орел, ул. Cалтыкова-Щедрина, д. 34;Да;Нет;;;;;;;
"ПАО ""ВымпелКом""";"ПАО ""Вымпел-Коммуникации""";ПАО;7713076301;997750001;;;ЮЛ;Россия, г. Москва, Кожевнический пр., д.1;Да;Нет;;;;;;;
"ООО ""Кислород Плюс""";"ООО""Кислород Плюс""";ООО;5752036676;575101001;;;ЮЛ;302043 г.Орел,перМаслозаводской,8;Да;Нет;;;;;;;
"Тульский филиал ПАО ""Ростелеком""";"Тульский филиал ПАО ""Ростелеком""";ПАО;7707049388;710743001;;;ЮЛ;141400, Московская обл., г. Химки, ул. Пролетарская, д. 23;Да;Нет;;;;;;;
"ПАО ""Мобильные ТелеСистемы""";"Публичное акционерное общество ""Мобильные ТелеСистемы""";ПАО;7740000076;997750001;;;ЮЛ;109147, Россия, г. Москва, ул. Марксистская,  дом № 4;Да;Нет;;;;;;;
Управление государственного имущества Орловской области;Управление государственного имущества Орловской области;АО;5753004003;575101001;;;ЮЛ;302028, г. Орел, пл. Ленина, 1;Да;Нет;;;;;;;
Ростелеком, ОАО;"ОАО междугородной и международной электрической связи ""Ростелеком""";;;;;;;;;;;;;;;;
