"SCNAME";"SOCRNAME";"IS_FIRST";"NEED_DOT"
"АО";"Автономный округ";"0";"0"
"Аобл";"Автономная область";"0";"1"
"г";"Город";"1";"1"
"край";"Край";"0";"0"
"обл";"Область";"0";"1"
"округ";"Округ";"0";"0"
"Респ";"Республика";"1";"1"
"п";"Поселение";"0";"1"
"р-н";"Район";"0";"0"
"тер";"Территория";"1";"1"
"у";"Улус";"1";"1"
"волость";"Волость";"0";"0"
"дп";"Дачный поселок";"1";"1"
"кп";"Курортный поселок";"1";"1"
"массив";"Массив";"0";"0"
"п/о";"Почтовое отделение";"1";"0"
"пгт";"Поселок городского типа";"1";"1"
"рп";"Рабочий поселок";"1";"1"
"с/а";"Сельская администрация";"1";"0"
"с/мо";"Сельское муниципальное образо";"1";"0"
"с/о";"Сельский округ";"1";"0"
"с/п";"Сельское поселение";"1";"0"
"с/с";"Сельсовет";"1";"0"
"аал";"Аал";"1";"0"
"автодорога";"Автодорога";"0";"0"
"арбан";"Арбан";"1";"0"
"аул";"Аул";"0";"0"
"высел";"Выселки(ок)";"0";"0"
"городок";"Городок";"0";"0"
"д";"Деревня";"1";"1"
"ж/д_будка";"Железнодорожная будка";"1";"0"
"ж/д_казарм";"Железнодорожная казарма";"1";"0"
"ж/д_оп";"ж/д останов. (обгонный) пункт";"1";"0"
"ж/д_платф";"Железнодорожная платформа";"1";"0"
"ж/д_пост";"Железнодорожный пост";"1";"0"
"ж/д_рзд";"Железнодорожный разъезд";"1";"0"
"ж/д_ст";"Железнодорожная станция";"1";"0"
"жилзона";"Жилая зона";"1";"0"
"жилрайон";"Жилой район";"0";"0"
"заимка";"Заимка";"1";"0"
"казарма";"Казарма";"1";"0"
"кв-л";"Квартал";"0";"0"
"кордон";"Кордон";"0";"0"
"лпх";"Леспромхоз";"1";"1"
"м";"Местечко";"1";"1"
"мкр";"Микрорайон";"0";"1"
"нп";"Населенный пункт";"1";"1"
"остров";"Остров";"1";"0"
"п/р";"Планировочный район";"1";"0"
"п/ст";"Поселок и(при) станция(и)";"1";"0"
"погост";"Погост";"0";"0"
"починок";"Починок";"1";"0"
"промзона";"Промышленная зона";"1";"0"
"рзд";"Разъезд";"1";"1"
"с";"Село";"1";"1"
"сл";"Слобода";"1";"1"
"снт";"Садовое неком-е товарищество";"1";"1"
"ст";"Станция";"1";"1"
"ст-ца";"Станица";"1";"0"
"х";"Хутор";"1";"1"
"а/я";"Абонентский ящик";"1";"0"
"аллея";"Аллея";"0";"0"
"берег";"Берег";"0";"0"
"б-р";"Бульвар";"0";"0"
"бугор";"Бугор";"0";"0"
"бухта";"Бухта";"0";"0"
"вал";"Вал";"0";"0"
"въезд";"Въезд";"0";"0"
"горка";"Горка";"0";"0"
"гск";"Гаражно-строит-ный кооператив";"1";"1"
"днп";"Дачное нек";"1";"1"
"дор";"Дорога";"0";"1"
"жт";"Животноводческая точка";"1";"1"
"заезд";"Заезд";"0";"0"
"зона";"Зона";"0";"0"
"канал";"Канал";"0";"0"
"км";"Километр";"0";"1"
"кольцо";"Кольцо";"0";"0"
"коса";"Коса";"0";"0"
"линия";"Линия";"0";"0"
"маяк";"Маяк";"0";"0"
"местность";"Местность";"0";"0"
"мост";"Мост";"0";"0"
"мыс";"Мыс";"0";"0"
"наб";"Набережная";"1";"1"
"парк";"Парк";"0";"0"
"пер";"Переулок";"1";"1"
"переезд";"Переезд";"0";"0"
"пл";"Площадь";"1";"1"
"платф";"Платформа";"0";"1"
"пл-ка";"Площадка";"0";"0"
"полустанок";"Полустанок";"0";"0"
"причал";"Причал";"0";"0"
"пр-кт";"Проспект";"1";"0"
"проезд";"Проезд";"0";"0"
"просек";"Просек";"0";"0"
"просека";"Просека";"0";"0"
"проселок";"Проселок";"0";"0"
"проток";"Проток";"0";"0"
"протока";"Протока";"0";"0"
"проулок";"Проулок";"0";"0"
"ряды";"Ряды";"0";"0"
"сад";"Сад";"0";"0"
"сквер";"Сквер";"0";"0"
"спуск";"Спуск";"0";"0"
"стр";"Строение";"0";"1"
"тоннель";"тоннель";"0";"0"
"тракт";"Тракт";"0";"0"
"туп";"Тупик";"0";"1"
"ул";"Улица";"1";"1"
"уч-к";"Участок";"0";"0"
"ферма";"Ферма";"0";"0"
"ш";"Шоссе";"0";"1"
"эстакада";"эстакада";"0";"0"
"ДОМ";"Дом";"0";"0"
"днп";"Дачное некоммерческое партнерство";"0";"1"
"н/п";"Некоммерческое партнерство";"0";"1"
"ф/х";"Фермерское хозяйство";"0";"0"
"гп";"городской поселок";"1";"1"
