ОКДП;ОКПД2
100000;1
110000;1.1
111000;1.11
112000;1.13
113000;1.2
113010;1.24
120000;1.4
121000;1.4
122000;1.4
121010;1.41
121020;1.46
121021;1.46
140000;1.6
141000;1.61
200000;2.1
210000;2.1
230000;2.3
500000;3
1000000;5.1
1100000;6
1110000;6
1111000;6.1
1300000;7
1320000;7.29
1410000;8
1412000;8.11
1413000;8.12
1420000;8.9
1429000;8.99
1500000;10
1510000;10.1
1511000;10.1
1512000;10.2
1512950;10.2
1512951;10.2
1512953;10.2
1512955;10.2
1513000;10.3
1514000;10.41
1520000;10.5
1530000;10.6
1531000;10.61
1532000;10.62
1541000;10.7
1542000;10.81
1543000;10.82
1549036;10.84
1533000;10.9
1550000;11
1552000;11.02
1552010;11.02
1552040;11.03
1553000;11.05
1554000;11.07
1600000;12
1700000;13
1710000;13.1
1711000;13.1
1713000;13.2
1730000;13.91
1722000;13.93
1800000;14
1810000;14.1
1816000;14.12
1811000;14.13
1812000;14.14
1820000;14.2
1821000;14.2
1822000;14.2
1814000;14.3
1814010;14.31
1814011;14.31
1910000;15
1912000;15.12
1920000;15.2
2000000;16
2010000;16.1
2020000;16.2
2021000;16.21
2022000;16.23
2022010;16.23
2029000;16.29
2100000;17.1
2101000;17.11
2109000;17.2
2102500;17.22
2220000;18.1
2221000;18.1
9414030;18.1
2222000;18.13
2232000;18.2
2300000;19
2310000;19.1
2320000;19.2
2429650;20.14
2429651;20.14
2429652;20.14
2429653;20.14
2412000;20.15
2412010;20.15
2412020;20.15
2413000;20.16
2420000;20.2
2421000;20.2
2422000;20.3
2424000;20.4
2429000;20.5
2430000;20.6
2430020;20.6
2430310;20.6
2430311;20.6
2430320;20.6
2430321;20.6
2430322;20.6
2430329;20.6
2430330;20.6
2430331;20.6
2430332;20.6
2430333;20.6
2430334;20.6
2430335;20.6
2430340;20.6
2430341;20.6
2430350;20.6
2430351;20.6
2430360;20.6
2430361;20.6
2430362;20.6
2430363;20.6
2430364;20.6
2430365;20.6
2430370;20.6
2423000;21
2423110;21.1
2423111;21.1
2423112;21.1
2423113;21.1
2423130;21.1
2423131;21.1
2423132;21.1
2423133;21.1
2423140;21.1
2423141;21.1
2423142;21.1
2423143;21.1
2423149;21.1
2423150;21.1
2423151;21.1
2423152;21.1
2423153;21.1
2423154;21.1
2423155;21.1
2423156;21.1
2423157;21.1
2423158;21.1
2423159;21.1
2423160;21.1
2423161;21.1
2423162;21.1
2423170;21.1
2423171;21.1
2423172;21.1
2423173;21.1
2423174;21.1
2423175;21.1
2423176;21.1
2423177;21.1
2423178;21.1
2423179;21.1
2423180;21.1
2423181;21.1
2423182;21.1
2423183;21.1
2423184;21.1
2423185;21.1
2423186;21.1
2423187;21.1
2423188;21.1
2500000;22
2510000;22.1
2511000;22.11
2519000;22.19
2520000;22.2
2521000;22.2
2600000;23
2610000;23.1
2614000;23.14
2692000;23.2
2693000;23.3
2694000;23.5
2694030;23.52
2695000;23.6
2699000;23.99
2700000;24
2800000;25
2813000;25.3
2892020;25.62
3440150;25.73
3440151;25.73
3440152;25.73
3440153;25.73
3440154;25.73
3440155;25.73
2714810;25.94
3200000;26
3210000;26.1
3211000;26.11
3020000;26.2
3230000;26.4
3330000;26.52
3320000;26.7
3513210;27
3513214;27
3100000;27.1
3110000;27.11
2924801;27.12
3513211;27.12
3141000;27.2
3130000;27.3
3150000;27.4
2930000;27.5
2930010;27.51
2930020;27.52
2930224;27.52
2930250;27.52
2930251;27.52
2930420;27.52
2930421;27.52
2930429;27.52
2900000;28
2910000;28.1
2911000;28.11
2912000;28.13
2924750;28.24
2919000;28.29
2919050;28.29
2921000;28.3
2922000;28.4
3520545;28.41
2925000;28.93
2926000;28.94
2929000;28.99
3420000;29.2
2924824;29.3
2924825;29.3
3190010;29.31
3500000;30
3510000;30.1
3511000;30.11
3512000;30.12
3520000;30.2
3530000;30.3
3590000;30.9
3591000;30.91
3610000;31
3613010;31
3613020;31
3613090;31
3613100;31
3613101;31
3613102;31
3613110;31
3613111;31
3613112;31
3613113;31
3613120;31
3613121;31
3613122;31
3613123;31
3613130;31
3613131;31
3613132;31
3613133;31
3613134;31
3613135;31
3613140;31
3613141;31
3613142;31
3613143;31
3613150;31
3613151;31
3613152;31
3613153;31
3613160;31
3613161;31
3613162;31
3613163;31
3613164;31
3613165;31
3613166;31
3690000;32
3691000;32.1
3692000;32.2
3694000;32.4
3699000;32.99
9430000;33.1
4000000;35
4020000;35.21
4500000;41
4530000;43.2
4540000;43.3
4540020;43.3
5000000;45
5010000;45.1
5030000;45.3
5040000;45.4
5040010;45.4
5040020;45.4
5100000;46.1
5110000;46.1
5121000;46.2
5122000;46.3
5130000;46.4
5150000;46.6
5150010;46.61
5140000;46.7
5143000;46.73
5200000;47
5210000;47.1
5220000;47.2
5200320;47.8
5200321;47.8
5200322;47.8
5200323;47.8
5200324;47.8
5200325;47.8
5250000;47.8
6000000;49
6010000;49.1
6020000;49.39
6100000;50
6320000;52.2
6326000;52.23
6410000;53
5510000;55.1
9213000;60
9213010;60.1
9213020;60.2
7200000;62.02
6500000;64
6510000;64.1
6519000;64.19
6600000;65
6613000;65.12
6613091;65.2
6700000;66
6710000;66.1
6712000;66.1
7000000;68
7010050;68
7010051;68
7010052;68
7010000;68.1
7412000;69.2
7420000;71
7421000;71.1
7421010;71.11
7421019;71.11
7430000;73.1
7413000;73.2
7494000;74.2
7100000;77
7111000;77.1
7130000;77.2
7110000;77.3
7120000;77.3
7491000;78
6350000;79
6350010;79.1
7492000;80
7493000;81.2
7500000;84
7510000;84.1
7520000;84.2
8000000;85
8030000;85.22
8030010;85.22
8030020;85.22
8030030;85.22
8030040;85.22
8030041;85.22
8030042;85.22
8030043;85.22
8030090;85.22
8510000;86
8512000;86.2
8530000;87
8531000;87
8531010;87.3
8532000;88
9214000;90
9230000;91
9231000;91
9249012;92.1
9249522;92.1
9249529;92.1
9240000;93
9241000;93.1
9249000;93.2
9100000;94
9110000;94.1
5260000;95.2
9312000;96.02
9313000;96.03
512020;03.11.1930
1412030;08.11.1930
1412200;08.11.1930
2010530;16.10.1931
2010531;16.10.1931
2010532;16.10.1931
1511130;10.11.1931
3149000;27.11.1931
3149010;27.11.1931
3511050;30.11.1931
111430;01.11.1933
111440;01.11.1933
3511140;30.11.1933
1511273;10.11.1936
1511023;10.11.1939
1511270;10.11.1939
1411010;08.11.1940
1511240;10.12.1940
111540;01.11.1941
111510;01.11.1942
512300;03.11.1942
1511650;10.11.1942
1711036;13.10.1950
1514040;10.11.1950
1514041;10.11.1950
1514300;10.11.1950
1514310;10.11.1950
3115040;27.11.1950
3511170;30.11.1950
3511174;30.11.1950
2423500;21.10.1951
2423501;21.10.1951
2423502;21.10.1951
2423510;21.10.1951
2423511;21.10.1951
2423512;21.10.1951
2423513;21.10.1951
2423519;21.10.1951
2423520;21.10.1951
2423521;21.10.1951
2423529;21.10.1951
2423530;21.10.1951
2423531;21.10.1951
2423539;21.10.1951
2423540;21.10.1951
2423541;21.10.1951
2423542;21.10.1951
2423543;21.10.1951
2423544;21.10.1951
2423570;21.10.1951
2423571;21.10.1951
2423572;21.10.1951
2423573;21.10.1951
2423574;21.10.1951
2712790;24.10.1951
2712791;24.10.1951
2712792;24.10.1951
2712793;24.10.1951
2712794;24.10.1951
2712795;24.10.1951
2712796;24.10.1951
2712797;24.10.1951
2712798;24.10.1951
2423030;21.10.1953
2423680;21.10.1953
2423681;21.10.1953
2423682;21.10.1953
2423683;21.10.1953
2423684;21.10.1953
2423685;21.10.1953
2423710;21.10.1953
2423711;21.10.1953
2423712;21.10.1953
2423719;21.10.1953
2423720;21.10.1953
2423721;21.10.1953
2423722;21.10.1953
2423723;21.10.1953
2423724;21.10.1953
2423725;21.10.1953
2423730;21.10.1953
2423731;21.10.1953
2423732;21.10.1953
2423733;21.10.1953
2423734;21.10.1953
2423735;21.10.1953
2423736;21.10.1953
2423740;21.10.1953
2423741;21.10.1953
2423742;21.10.1953
2423743;21.10.1953
2423744;21.10.1953
2423745;21.10.1953
2423746;21.10.1953
2423747;21.10.1953
2423748;21.10.1953
2423750;21.10.1953
2423751;21.10.1953
2423752;21.10.1953
2423753;21.10.1953
2423754;21.10.1953
2423760;21.10.1953
2423761;21.10.1953
2423762;21.10.1953
2423763;21.10.1953
2423764;21.10.1953
2423765;21.10.1953
2423766;21.10.1953
2423770;21.10.1953
2423771;21.10.1953
2423772;21.10.1953
2423773;21.10.1953
2423774;21.10.1953
2423775;21.10.1953
2423776;21.10.1953
2423777;21.10.1953
2423778;21.10.1953
2423779;21.10.1953
2423020;21.10.1954
3410040;29.10.1959
2423560;21.10.1960
2423561;21.10.1960
2423562;21.10.1960
2423563;21.10.1960
2423564;21.10.1960
2423565;21.10.1960
2423566;21.10.1960
2423567;21.10.1960
2423568;21.10.1960
2423569;21.10.1960
1511040;10.11.1960
1711032;13.10.1961
1711520;13.10.1961
1711521;13.10.1961
1711522;13.10.1961
1711530;13.10.1961
1711531;13.10.1961
1711532;13.10.1961
1711540;13.10.1961
1711541;13.10.1961
1711542;13.10.1961
1711550;13.10.1961
1711551;13.10.1961
1711552;13.10.1961
1711570;13.10.1961
1711571;13.10.1961
1711580;13.10.1961
1711581;13.10.1961
1711590;13.10.1961
1711591;13.10.1961
1711592;13.10.1961
1711610;13.10.1961
1711611;13.10.1961
1711612;13.10.1961
1711620;13.10.1961
1711621;13.10.1961
1711622;13.10.1961
1711630;13.10.1961
1711631;13.10.1961
1711632;13.10.1961
1711640;13.10.1961
1711641;13.10.1961
1711642;13.10.1961
1711650;13.10.1961
1711651;13.10.1961
1711660;13.10.1961
1711661;13.10.1961
1711662;13.10.1961
1711680;13.10.1961
1711681;13.10.1961
1711682;13.10.1961
1711690;13.10.1961
1711691;13.10.1961
1711700;13.10.1961
1711701;13.10.1961
1711710;13.10.1961
1711711;13.10.1961
1711730;13.10.1961
1711731;13.10.1961
1711740;13.10.1961
1711741;13.10.1961
1711742;13.10.1961
1711750;13.10.1961
1711751;13.10.1961
1711760;13.10.1961
1711761;13.10.1961
1711762;13.10.1961
1711780;13.10.1961
1711781;13.10.1961
1711790;13.10.1961
1711791;13.10.1961
1711800;13.10.1961
1711801;13.10.1961
1711810;13.10.1961
1711811;13.10.1961
1711820;13.10.1961
1711821;13.10.1961
1711822;13.10.1961
1711823;13.10.1961
1711824;13.10.1961
3116000;27.11.1961
520000;03.11.1970
1711034;13.10.1971
2712020;24.10.1971
2712250;24.10.1971
2712251;24.10.1971
2712252;24.10.1971
2712253;24.10.1971
2712254;24.10.1971
2712260;24.10.1971
2712261;24.10.1971
2712262;24.10.1971
2712263;24.10.1971
2712264;24.10.1971
111620;01.11.1971
111623;01.11.1971
2102010;17.12.1972
2102100;17.12.1972
2102101;17.12.1972
2102102;17.12.1972
2102103;17.12.1972
2102104;17.12.1972
2102105;17.12.1972
2102109;17.12.1972
111630;01.11.1974
2712133;24.10.1975
2712240;24.10.1975
111610;01.11.1975
111613;01.11.1975
2712360;24.10.1980
114110;01.11.1981
114120;01.11.1982
1711970;13.10.1984
1711971;13.10.1984
1711972;13.10.1984
1711980;13.10.1984
1711981;13.10.1984
1711982;13.10.1984
1711983;13.10.1984
1711984;13.10.1984
1711990;13.10.1984
1711991;13.10.1984
1711992;13.10.1984
1711993;13.10.1984
1711994;13.10.1984
114180;01.11.1992
114160;01.11.1993
114140;01.11.1994
114130;01.11.1995
3010390;31.01.2001
3010391;31.01.2001
3010392;31.01.2001
3010393;31.01.2001
3612030;31.01.2001
3696621;31.01.2001
3696622;31.01.2001
3696631;31.01.2001
3696632;31.01.2001
3696633;31.01.2001
1310000;07.10.2001
1120000;09.10.2001
2710000;24.10.2001
3430000;29.10.2001
3430010;29.10.2001
3430100;29.10.2001
3430103;29.10.2001
3430104;29.10.2001
3430105;29.10.2001
3430106;29.10.2001
3430109;29.10.2001
111190;01.11.2001
511000;03.11.2001
511010;03.11.2001
1411000;08.11.2001
1811910;14.11.2001
1821010;15.11.2001
2411130;20.11.2001
2511010;22.11.2001
3211010;26.11.2001
2911010;28.11.2001
2916000;28.12.2001
1711010;13.10.2002
2711020;24.10.2002
2711362;24.10.2002
2711363;24.10.2002
2711365;24.10.2002
2711366;24.10.2002
2711367;24.10.2002
2711368;24.10.2002
2711370;24.10.2002
2711371;24.10.2002
2711380;24.10.2002
2711381;24.10.2002
2711383;24.10.2002
2712000;24.10.2002
2712210;24.10.2002
2712213;24.10.2002
2712214;24.10.2002
2712215;24.10.2002
2712220;24.10.2002
2712230;24.10.2002
2712231;24.10.2002
3400000;29.10.2002
3410000;29.10.2002
3410010;29.10.2002
3410100;29.10.2002
3410101;29.10.2002
3410102;29.10.2002
3410103;29.10.2002
3410110;29.10.2002
3410111;29.10.2002
3410112;29.10.2002
3410113;29.10.2002
3410114;29.10.2002
3410120;29.10.2002
3410121;29.10.2002
3410122;29.10.2002
3410123;29.10.2002
3410130;29.10.2002
3410131;29.10.2002
3410140;29.10.2002
3410141;29.10.2002
3410150;29.10.2002
3410151;29.10.2002
3410152;29.10.2002
3410160;29.10.2002
3410161;29.10.2002
3410162;29.10.2002
3410163;29.10.2002
3410164;29.10.2002
3410165;29.10.2002
3410166;29.10.2002
3410167;29.10.2002
3410170;29.10.2002
511020;03.11.2002
1911000;15.11.2002
3112000;27.11.2002
3112010;27.11.2002
3112020;27.11.2002
3112100;27.11.2002
3112101;27.11.2002
3112102;27.11.2002
3112110;27.11.2002
3112111;27.11.2002
3112112;27.11.2002
3112120;27.11.2002
3112121;27.11.2002
3112122;27.11.2002
3112123;27.11.2002
3112124;27.11.2002
3112130;27.11.2002
3112131;27.11.2002
3112132;27.11.2002
3112133;27.11.2002
3112140;27.11.2002
3112141;27.11.2002
3112142;27.11.2002
3112143;27.11.2002
3112150;27.11.2002
3112151;27.11.2002
3112152;27.11.2002
3112153;27.11.2002
3112154;27.11.2002
3112160;27.11.2002
3112161;27.11.2002
3112162;27.11.2002
3112170;27.11.2002
3112171;27.11.2002
3112172;27.11.2002
3112180;27.11.2002
3112181;27.11.2002
3112182;27.11.2002
3112190;27.11.2002
3112191;27.11.2002
3112192;27.11.2002
3112193;27.11.2002
3112194;27.11.2002
3112195;27.11.2002
3112196;27.11.2002
3112200;27.11.2002
3112201;27.11.2002
3112210;27.11.2002
3112211;27.11.2002
3112212;27.11.2002
3112213;27.11.2002
3112219;27.11.2002
3112220;27.11.2002
3112221;27.11.2002
3112222;27.11.2002
3112223;27.11.2002
3112229;27.11.2002
3112230;27.11.2002
3112231;27.11.2002
3112232;27.11.2002
3112233;27.11.2002
3112234;27.11.2002
3112239;27.11.2002
3112240;27.11.2002
3112241;27.11.2002
3112242;27.11.2002
3112243;27.11.2002
3112244;27.11.2002
3112245;27.11.2002
3112246;27.11.2002
3112249;27.11.2002
3112250;27.11.2002
3112251;27.11.2002
3112252;27.11.2002
3112253;27.11.2002
3112254;27.11.2002
3112255;27.11.2002
3112256;27.11.2002
3112257;27.11.2002
3112259;27.11.2002
3112260;27.11.2002
3112261;27.11.2002
3112262;27.11.2002
3112263;27.11.2002
3112264;27.11.2002
3112265;27.11.2002
3112269;27.11.2002
3112270;27.11.2002
3112271;27.11.2002
3112272;27.11.2002
3112273;27.11.2002
3112279;27.11.2002
3112280;27.11.2002
3112281;27.11.2002
3112289;27.11.2002
3112290;27.11.2002
3112291;27.11.2002
3112292;27.11.2002
3112293;27.11.2002
3112294;27.11.2002
3112300;27.11.2002
3112301;27.11.2002
3112302;27.11.2002
3112310;27.11.2002
3112311;27.11.2002
3112312;27.11.2002
3112320;27.11.2002
3112321;27.11.2002
3112323;27.11.2002
3112330;27.11.2002
3112331;27.11.2002
3112332;27.11.2002
3112333;27.11.2002
3112334;27.11.2002
3112340;27.11.2002
3112341;27.11.2002
3112342;27.11.2002
3112343;27.11.2002
3112344;27.11.2002
3112350;27.11.2002
3112351;27.11.2002
3112352;27.11.2002
3112353;27.11.2002
3112354;27.11.2002
3112360;27.11.2002
3112361;27.11.2002
3112362;27.11.2002
3112370;27.11.2002
3112371;27.11.2002
3112372;27.11.2002
3112380;27.11.2002
3112381;27.11.2002
3112390;27.11.2002
3112391;27.11.2002
3112392;27.11.2002
3112393;27.11.2002
3112394;27.11.2002
3112400;27.11.2002
3112401;27.11.2002
3112402;27.11.2002
3112410;27.11.2002
3112411;27.11.2002
3112420;27.11.2002
3112421;27.11.2002
3112440;27.11.2002
3112441;27.11.2002
3112450;27.11.2002
3112451;27.11.2002
3112452;27.11.2002
3112460;27.11.2002
3112461;27.11.2002
3112470;27.11.2002
3112471;27.11.2002
3112480;27.11.2002
3112481;27.11.2002
3112482;27.11.2002
3112490;27.11.2002
3112491;27.11.2002
3112500;27.11.2002
3112501;27.11.2002
3112502;27.11.2002
3112510;27.11.2002
3112511;27.11.2002
3112520;27.11.2002
3112521;27.11.2002
3112522;27.11.2002
3112530;27.11.2002
3112531;27.11.2002
3112532;27.11.2002
3112533;27.11.2002
3112540;27.11.2002
3112541;27.11.2002
3112542;27.11.2002
3113000;27.11.2002
3113010;27.11.2002
3113020;27.11.2002
3113030;27.11.2002
3113040;27.11.2002
3113100;27.11.2002
3113101;27.11.2002
3113102;27.11.2002
3113103;27.11.2002
3113104;27.11.2002
3113105;27.11.2002
3113106;27.11.2002
3113107;27.11.2002
3113110;27.11.2002
3113111;27.11.2002
3113112;27.11.2002
3113113;27.11.2002
3113120;27.11.2002
3113121;27.11.2002
3113122;27.11.2002
2911020;28.11.2002
1414000;08.12.2002
3120020;27.12.2002
2712010;24.10.2003
3120290;27.12.2003
3120291;27.12.2003
3120292;27.12.2003
3120293;27.12.2003
2712140;24.10.2004
2712142;24.10.2004
2712820;24.10.2004
2712821;24.10.2004
2712822;24.10.2004
2712823;24.10.2004
3410020;29.10.2004
3410190;29.10.2004
3410191;29.10.2004
3410192;29.10.2004
3410193;29.10.2004
3410194;29.10.2004
3410195;29.10.2004
3410196;29.10.2004
3410197;29.10.2004
3410198;29.10.2004
3410200;29.10.2004
3410201;29.10.2004
3410202;29.10.2004
2712030;24.10.2006
2712135;24.10.2006
2712136;24.10.2006
112680;01.11.2006
512030;03.11.2006
1711030;13.10.2007
1711031;13.10.2007
111560;01.11.2007
1711040;13.10.2008
114000;01.11.2008
114010;01.11.2008
1551010;11.01.2010
1553010;11.05.2010
1553310;11.05.2010
1553320;11.05.2010
1553410;11.05.2010
1553430;11.05.2010
1553020;11.06.2010
1010000;05.10.2010
1010010;05.10.2010
1010020;05.10.2010
1010030;05.10.2010
1010040;05.10.2010
1010090;05.10.2010
1010230;05.10.2010
1010240;05.10.2010
1010260;05.10.2010
1010290;05.10.2010
1010330;05.10.2010
1010350;05.10.2010
1010370;05.10.2010
1010390;05.10.2010
1010410;05.10.2010
1010450;05.10.2010
1010460;05.10.2010
1010510;05.10.2010
1010590;05.10.2010
1010591;05.10.2010
1310010;07.10.2010
2010020;16.10.2010
2310010;19.10.2010
2310110;19.10.2010
2310111;19.10.2010
2310112;19.10.2010
2310113;19.10.2010
2310120;19.10.2010
2310130;19.10.2010
2310200;19.10.2010
2310210;19.10.2010
2310211;19.10.2010
2310310;19.10.2010
2310311;19.10.2010
2310312;19.10.2010
2310410;19.10.2010
2310411;19.10.2010
2310412;19.10.2010
2423010;21.10.2010
2423120;21.10.2010
2423121;21.10.2010
2423122;21.10.2010
2423123;21.10.2010
1811023;14.11.2010
111530;01.12.2010
111533;01.12.2010
1511022;10.12.2010
3120000;27.12.2010
3120010;27.12.2010
3513212;27.12.2010
2915060;31.01.2011
2915510;31.01.2011
2915521;31.01.2011
1552030;11.02.2011
1554010;11.07.2011
1120010;09.10.2011
1120100;09.10.2011
2711010;24.10.2011
2730000;24.10.2011
2731000;24.10.2011
2731010;24.10.2011
2731020;24.10.2011
2731100;24.10.2011
2731110;24.10.2011
2731120;24.10.2011
2731130;24.10.2011
2731140;24.10.2011
2731150;24.10.2011
2731160;24.10.2011
2731170;24.10.2011
151150;03.11.2011
1411020;08.11.2011
1411030;08.11.2011
1511011;10.11.2011
2411131;20.11.2011
2611000;23.11.2011
2611010;23.11.2011
2611110;23.11.2011
2611111;23.11.2011
2611112;23.11.2011
2611113;23.11.2011
2611114;23.11.2011
2611115;23.11.2011
2611116;23.11.2011
2611120;23.11.2011
2611121;23.11.2011
2611122;23.11.2011
2611123;23.11.2011
2611130;23.11.2011
2611131;23.11.2011
2611132;23.11.2011
2611133;23.11.2011
2611134;23.11.2011
2611260;23.11.2011
2611261;23.11.2011
2611262;23.11.2011
2611310;23.11.2011
2611320;23.11.2011
2611410;23.11.2011
2611420;23.11.2011
2611510;23.11.2011
2611520;23.11.2011
2611530;23.11.2011
2611600;23.11.2011
3211120;26.11.2011
1413010;08.12.2011
1413110;08.12.2011
1912020;15.12.2011
2101030;17.12.2011
2101031;17.12.2011
2101270;17.12.2011
3512020;30.12.2011
3512110;30.12.2011
1721750;31.03.2012
1721751;31.03.2012
1721752;31.03.2012
1721759;31.03.2012
3611310;31.03.2012
3611315;31.03.2012
3611316;31.03.2012
211000;02.10.2012
211040;02.10.2012
1120020;09.10.2012
1120110;09.10.2012
4510551;09.10.2012
2711000;24.10.2012
2711150;24.10.2012
2711210;24.10.2012
2711220;24.10.2012
2711230;24.10.2012
2711240;24.10.2012
2711250;24.10.2012
2711260;24.10.2012
1511012;10.11.2012
2612410;23.11.2012
2612411;23.11.2012
2612412;23.11.2012
2612413;23.11.2012
2612414;23.11.2012
2612415;23.11.2012
2612416;23.11.2012
2612420;23.11.2012
2612421;23.11.2012
2612422;23.11.2012
2612423;23.11.2012
2612424;23.11.2012
2612425;23.11.2012
2612426;23.11.2012
2612430;23.11.2012
2612440;23.11.2012
2612450;23.11.2012
2612460;23.11.2012
2911110;28.11.2012
1413020;08.12.2012
1912010;15.12.2012
2612030;23.12.2012
2612710;23.12.2012
2612720;23.12.2012
2612730;23.12.2012
2612740;23.12.2012
2613000;23.12.2012
2613010;23.12.2012
3512050;30.12.2012
3512142;30.12.2012
3512152;30.12.2012
1511013;10.11.2013
2911100;28.11.2013
2911101;28.11.2013
2911102;28.11.2013
2911103;28.11.2013
2911104;28.11.2013
2911105;28.11.2013
2911106;28.11.2013
2911107;28.11.2013
3513182;28.12.2013
3513184;28.12.2014
1511014;10.11.2015
1554020;11.07.2019
1554200;11.07.2019
3512010;30.12.2019
3512090;30.12.2019
3512150;30.12.2019
1552060;11.02.2020
1552710;11.02.2020
1552720;11.02.2020
1552721;11.02.2020
1552724;11.02.2020
1111050;06.10.2020
2310020;19.10.2020
2423550;21.10.2020
2423551;21.10.2020
2423552;21.10.2020
1412010;08.11.2020
1412020;08.11.2020
1511021;10.11.2020
1511817;10.11.2020
1711011;13.10.2021
1711100;13.10.2021
3699463;16.10.2021
2711360;24.10.2021
2810000;25.11.2021
2811000;25.11.2021
2811010;25.11.2021
2811140;25.11.2021
2911120;28.11.2021
2911121;28.11.2021
2911122;28.11.2021
2911123;28.11.2021
2911124;28.11.2021
1414010;08.12.2021
2411040;20.12.2021
1911010;15.11.2022
1911100;15.11.2022
1911101;15.11.2022
1911102;15.11.2022
1911103;15.11.2022
1911104;15.11.2022
1911105;15.11.2022
1911106;15.11.2022
1911107;15.11.2022
1911108;15.11.2022
1911110;15.11.2022
1911111;15.11.2022
1911112;15.11.2022
1911113;15.11.2022
1911114;15.11.2022
1911120;15.11.2022
1911121;15.11.2022
1911122;15.11.2022
1911123;15.11.2022
1911124;15.11.2022
1911125;15.11.2022
1911126;15.11.2022
1911127;15.11.2022
1911130;15.11.2022
1911131;15.11.2022
1911132;15.11.2022
1911133;15.11.2022
1911134;15.11.2022
1911135;15.11.2022
1911150;15.11.2022
1911151;15.11.2022
1911152;15.11.2022
1911160;15.11.2022
1911161;15.11.2022
1911162;15.11.2022
1911163;15.11.2022
1911164;15.11.2022
3211020;26.11.2022
3211350;26.11.2022
1414020;08.12.2022
1414030;08.12.2022
3120350;27.12.2024
3222430;27.12.2024
3222431;27.12.2024
3222432;27.12.2024
3222433;27.12.2024
3222434;27.12.2024
3313233;27.12.2024
3520555;27.12.2024
1711015;13.10.2025
1711016;13.10.2026
9319425; 
111110;01.11.11.110
111111;01.11.11.111
111112;01.11.11.112
111140;01.11.11.120
111150;01.11.11.120
111141;01.11.11.121
111151;01.11.11.121
111142;01.11.11.122
111152;01.11.11.122
111113;01.11.11.130
111123;01.11.11.130
111143;01.11.11.130
111153;01.11.11.130
111120;01.11.12.110
111130;01.11.12.110
111121;01.11.12.111
111131;01.11.12.111
111122;01.11.12.112
111132;01.11.12.112
111160;01.11.12.120
111170;01.11.12.120
111161;01.11.12.121
111171;01.11.12.121
111162;01.11.12.122
111172;01.11.12.122
111133;01.11.12.130
111163;01.11.12.130
111173;01.11.12.130
111310;01.11.20.110
111311;01.11.20.111
111312;01.11.20.113
111313;01.11.20.114
111330;01.11.20.120
111331;01.11.20.121
111332;01.11.20.123
111333;01.11.20.124
111340;01.11.20.130
111350;01.11.20.130
111341;01.11.20.131
111342;01.11.20.133
111343;01.11.20.134
111360;01.11.20.140
111314;01.11.20.150
111334;01.11.20.150
111344;01.11.20.150
111410;01.11.31.110
111411;01.11.31.111
111412;01.11.31.112
111420;01.11.31.120
111421;01.11.31.121
111422;01.11.31.122
111413;01.11.31.130
111423;01.11.31.130
111210;01.11.32.110
111211;01.11.32.111
111212;01.11.32.112
111220;01.11.32.120
111221;01.11.32.121
111222;01.11.32.122
111213;01.11.32.130
111223;01.11.32.130
111431;01.11.33.110
