code,parent_code,name
A,,"Продукция сельского, лесного и рыбного хозяйства"
01,A,Продукция и услуги сельского хозяйства и охоты
01.1,01,Культуры однолетние
01.11,01.1,"Культуры зерновые (кроме риса), зернобобовые, семена масличных культур"
01.11.1,01.11,Пшеница
01.11.11,01.11.1,Пшеница твердая
01.11.11.110,01.11.11,Пшеница озимая твердая
01.11.11.111,01.11.11.110,Зерно озимой твердой пшеницы
01.11.11.112,01.11.11.110,Семена озимой твердой пшеницы
01.11.11.120,01.11.11,Пшеница яровая твердая
01.11.11.121,01.11.11.120,Зерно яровой твердой пшеницы
01.11.11.122,01.11.11.120,Семена яровой твердой пшеницы
01.11.11.130,01.11.11,Зерноотходы твердой пшеницы
01.11.12,01.11.1,"Пшеница, кроме твердой пшеницы"
01.11.12.110,01.11.12,Пшеница озимая мягкая
01.11.12.111,01.11.12.110,Зерно озимой мягкой пшеницы
01.11.12.112,01.11.12.110,Семена озимой мягкой пшеницы
01.11.12.120,01.11.12,Пшеница яровая мягкая
01.11.12.121,01.11.12.120,Зерно яровой мягкой пшеницы
01.11.12.122,01.11.12.120,Семена яровой мягкой пшеницы
01.11.12.130,01.11.12,Зерноотходы мягкой пшеницы
01.11.12.140,01.11.12,Меслин (смесь пшеницы и ржи)
01.11.12.141,01.11.12.140,Зерно меслина
01.11.12.142,01.11.12.140,Семена меслина
01.11.12.143,01.11.12.140,Зерноотходы меслина
01.11.2,01.11,Кукуруза
01.11.20,01.11.2,"Кукуруза"
01.11.20.110,01.11.20,Кукуруза лопающаяся (рисовая)
01.11.20.111,01.11.20.110,Зерно лопающейся (рисовой) кукурузы
01.11.20.112,01.11.20.110,Семена лопающейся (рисовой) кукурузы
01.11.20.113,01.11.20.110,Початки лопающейся (рисовой) кукурузы
01.11.20.114,01.11.20.110,Початки обрушенные лопающейся (рисовой) кукурузы
01.11.20.120,01.11.20,Кукуруза кремнистая
01.11.20.121,01.11.20.120,Зерно кремнистой кукурузы
01.11.20.122,01.11.20.120,Семена кремнистой кукурузы
01.11.20.123,01.11.20.120,Початки кремнистой кукурузы
01.11.20.124,01.11.20.120,Початки обрушенные кремнистой кукурузы
01.11.20.130,01.11.20,"Кукуруза зубовидная и кукуруза прочих сортов, кроме сахарной"
01.11.20.131,01.11.20.130,Зерно зубовидной кукурузы и кукурузы прочих сортов
01.11.20.132,01.11.20.130,Семена зубовидной кукурузы и кукурузы прочих сортов
01.11.20.133,01.11.20.130,Початки зубовидной кукурузы и кукурузы прочих сортов
01.11.20.134,01.11.20.130,Початки обрушенные зубовидной кукурузы и кукурузы прочих сортов
01.11.20.140,01.11.20,Кукуруза разнотипная (смесь)
01.11.20.141,01.11.20.140,Зерно разнотипной кукурузы
01.11.20.142,01.11.20.140,Семена разнотипной кукурузы
01.11.20.143,01.11.20.140,Початки разнотипной кукурузы
01.11.20.150,01.11.20,Зерноотходы кукурузы
01.11.3,01.11,"Ячмень, рожь и овес"
01.11.31,01.11.3,Ячмень
01.11.31.110,01.11.31,Ячмень озимый
01.11.31.111,01.11.31.110,Зерно озимого ячменя
01.11.31.112,01.11.31.110,Семена озимого ячменя
01.11.31.120,01.11.31,Ячмень яровой
01.11.31.121,01.11.31.120,Зерно ярового ячменя
01.11.31.122,01.11.31.120,Семена ярового ячменя
01.11.31.130,01.11.31,Зерноотходы ячменя
01.11.32,01.11.3,Рожь
01.11.32.110,01.11.32,Рожь озимая
01.11.32.111,01.11.32.110,Зерно озимой ржи
01.11.32.112,01.11.32.110,Семена озимой ржи
01.11.32.120,01.11.32,Рожь яровая
01.11.32.121,01.11.32.120,Зерно яровой ржи
01.11.32.122,01.11.32.120,Семена яровой ржи
01.11.32.130,01.11.32,Зерноотходы ржи
01.11.33,01.11.3,Овес
01.11.33.110,01.11.33,Зерно овса
01.11.33.111,01.11.33.110,Семена овса
01.11.33.112,01.11.33.110,Зерноотходы овса
01.11.4,01.11,"Сорго, просо и прочие зерновые культуры"
01.11.41,01.11.4,Сорго
01.11.41.110,01.11.41,Зерно сорго
01.11.41.120,01.11.41,Семена сорго
01.11.41.130,01.11.41,Зерноотходы сорго
01.11.42,01.11.4,Просо
01.11.42.110,01.11.42,Зерно проса
01.11.42.120,01.11.42,Семена проса
01.11.42.130,01.11.42,Зерноотходы проса
01.11.49,01.11.4,Культуры зерновые прочие
01.11.49.110,01.11.49,Гречиха
01.11.49.111,01.11.49.110,Зерно гречихи
01.11.49.112,01.11.49.110,Семена гречихи
01.11.49.113,01.11.49.110,Зерноотходы гречихи
01.11.49.120,01.11.49,Тритикале (пшенично-ржаной гибрид)
01.11.49.121,01.11.49.120,Зерно ярового тритикале
01.11.49.122,01.11.49.120,Семена ярового тритикале
01.11.49.123,01.11.49.120,Зерно озимого тритикале
01.11.49.124,01.11.49.120,Семена озимого тритикале
01.11.49.125,01.11.49.120,Зерноотходы тритикале
01.11.49.130,01.11.49,Чумиза
01.11.49.131,01.11.49.130,Зерно чумизы
01.11.49.132,01.11.49.130,Семена чумизы
01.11.49.133,01.11.49.130,Зерноотходы чумизы
01.11.49.140,01.11.49,Вика и смеси виковые на зерно
01.11.49.150,01.11.49,Люпин кормовой сладкий на зерно
01.11.49.190,01.11.49,"Культуры зерновые прочие, не включенные в другие группировки"
01.11.49.191,01.11.49.190,"Зерно зерновых культур, не включенных в другие группировки"
01.11.49.192,01.11.49.190,"Семена зерновых культур, не включенных в другие группировки"
01.11.49.193,01.11.49.190,"Зерноотходы зерновых культур, не включенных в другие группировки"
01.11.5,01.11,Солома и мякина зерновых культур
01.11.50,01.11.5,Солома и мякина зерновых культур
01.11.50.000,01.11.50,Солома и мякина зерновых культур
01.11.6,01.11,Овощи бобовые зеленые
01.11.61,01.11.6,Фасоль овощная
01.11.61.000,01.11.61,Фасоль овощная
01.11.62,01.11.6,Горох овощной
01.11.62.000,01.11.62,Горох овощной
01.11.69,01.11.6,Овощи бобовые зеленые прочие
01.11.69.000,01.11.69,Овощи бобовые зеленые прочие
01.11.7,01.11,Овощи бобовые сушеные (культуры зернобобовые)
01.11.71,01.11.7,Фасоль сушеная
01.11.71.110,01.11.71,Зерно фасоли
01.11.71.120,01.11.71,Семена фасоли
01.11.72,01.11.7,Бобы кормовые сушеные
01.11.72.110,01.11.72,Зерно кормовых бобов
01.11.72.120,01.11.72,Семена кормовых бобов
01.11.73,01.11.7,Нут (бараний горох) сушеный
01.11.73.110,01.11.73,Зерно нута
01.11.73.120,01.11.73,Семена нута
01.11.74,01.11.7,Чечевица сушеная
01.11.74.110,01.11.74,Зерно чечевицы
01.11.74.120,01.11.74,Семена чечевицы
01.11.75,01.11.7,Горох сушеный
01.11.75.110,01.11.75,Зерно гороха
01.11.75.120,01.11.75,Семена гороха
