ОКВЭД2001;ОКВЭД2
1;1
1.1;1.1
1.11;1.11
1.12;1.13
1.13;1.2
1.2;1.4
1.21;1.41
1.22;01.45.1
1.23;1.46
1.24;1.47
1.25;1.49
1.3;1.5
1.3;1.5
1.4;1.6
1.41;1.61
1.42;1.62
1.5;1.7
1.5;1.7
2;2
2;2.1
2.01;2.1
2.02;2.4
5;3
5;3.1
5.01;3.1
5.02;3.2
10;5
10.1;5.1
10.1;5.1
10.2;5.2
10.2;5.2
10.3;8.92
10.3;8.92
11;6
11.1;6.1
11.1;6.1
11.2;9.1
11.2;9.1
12;7.21
12;7.21
12;7.21
13;7
13.1;7.1
13.1;7.1
13.2;7.2
13.2;7.29
14;8
14.1;8.11
14.11;8.11
14.12;08.11.2002
14.13;08.11.2004
14.2;8.1
14.21;8.12
14.22;08.12.2002
14.3;8.91
14.3;8.91
14.4;8.93
14.4;8.93
14.5;8.9
14.5;8.99
15;10
15.1;10.1
15.11;10.11
15.12;10.12
15.13;10.13
15.2;10.2
15.2;10.2
15.3;10.3
15.31;10.31
15.32;10.32
15.33;10.39
15.4;10.4
15.41;10.41
15.42;10.41.5
15.43;10.42
15.5;10.5
15.51;10.51
15.52;10.52
15.6;10.6
15.61;10.61
15.62;10.62
15.7;10.9
15.71;10.91
15.72;10.92
15.8;10.8
15.81;10.71
15.82;10.72
15.83;10.81
15.84;10.82
15.85;10.73.1
15.86;10.83
15.87;10.84
15.88;10.86
15.89;10.89
15.9;11
15.91;11.01.2001
15.92;11.01.2004
15.93;11.02
15.94;11.03
15.95;11.04
15.96;11.05
15.97;11.06
15.98;11.07
16;12
16;12
16;12
17;13
17.1;13.1
17.11;13.10.2001
17.12;13.10.2002
17.13;13.10.2003
17.14;13.10.2004
17.15;13.10.2005
17.16;13.10.2006
17.17;13.10.2009
17.2;13.2
17.21;13.20.2
17.22;13.20.12
17.23;13.20.12
17.24;13.20.11
17.25;13.20.3
17.3;13.3
17.3;13.3
17.4;13.92
17.4;13.92
17.5;13.9
17.51;13.93
17.52;13.94
17.53;13.95
17.54;13.99
17.6;13.91
17.6;13.91
17.7;14.3
17.71;14.31
17.72;14.39
18;14
18.1;14.11
18.1;14.11
18.2;14.19
18.21;14.12
18.22;14.13
18.23;14.14
18.24;14.19
18.3;14.2
18.3;14.2
19;15
19.1;15.11
19.1;15.11
19.2;15.12
19.2;15.12
19.3;15.2
19.3;15.2
20;16
20.1;16.1
20.1;16.1
20.2;16.2
20.2;16.21
20.3;16.23
20.3;16.23
20.4;16.24
20.4;16.24
20.5;16.29
20.51;16.29.1
20.52;16.29.2
21;17
21.1;17.1
21.11;17.11
21.12;17.12
21.2;17.2
21.21;17.21
21.22;17.22
21.23;17.23
21.24;17.24
21.25;17.29
22;18
22.1;58
22.11;58.11
22.12;58.13
22.13;58.14
22.14;59.2
22.15;58.19
22.2;18.1
22.21;18.11
22.22;18.12
22.23;18.14
22.24;18.13
22.25;18.12
22.3;18.2
22.31;18.2
22.32;18.2
22.33;18.2
23;19
23.1;19.1
23.1;19.1
23.2;19.2
23.2;19.2
23.3;24.46
23.3;24.46
24;20
24.1;20.1
24.11;20.11
24.12;20.12
24.13;20.13
24.14;20.14
24.15;20.15
24.16;20.16
24.17;20.17
24.2;20.2
24.2;20.2
24.3;20.3
24.3;20.3
24.4;21.1
24.41;21.1
24.42;21.2
24.5;20.4
24.51;20.41
24.52;20.42
24.6;20.5
24.61;20.51
24.62;20.52
24.63;20.53
24.64;20.59.1
24.65;26.8
24.66;20.59
24.7;20.6
24.7;20.6
25;22
25.1;22.1
25.11;22.11
25.12;22.11
25.13;22.19
25.2;22.2
25.21;22.21
25.22;22.22
25.23;22.23
25.24;22.29
26;23
26.1;23.1
26.11;23.11
26.12;23.12
26.13;23.13
26.14;23.14
26.15;23.19
26.2;23.4
26.21;23.41
26.22;23.42
26.23;23.43
26.24;23.44
26.25;23.49
26.26;23.2
26.3;23.31
26.3;23.31
26.4;23.32
26.4;23.32
26.5;23.5
26.51;23.51
26.52;23.52.1
26.53;23.52.2
26.6;23.6
26.61;23.61
26.62;23.62
26.63;23.63
26.64;23.64
26.65;23.65
26.66;23.69
26.7;23.7
26.7;23.7
26.8;23.9
26.81;23.91
26.82;23.99
27;24
27.1;24.1
27.11;24.1
27.12;24.10.2013
27.13;24.10.2012
27.14;24.10.2002
27.15;24.10.2002
27.16;24.10.2006
27.17;24.10.2004
27.2;24.51
27.21;24.51
27.22;24.2
27.3;24.3
27.31;24.31
27.32;24.32
27.33;24.33
27.34;24.34
27.35;24.10.2014
27.4;24.4
27.41;24.41
27.42;24.42
27.43;24.43
27.44;24.44
27.45;24.45
27.5;24.5
27.51;24.51
27.52;24.52
27.53;24.53
27.54;24.54
28;25
28.1;25.1
28.11;25.11
28.12;25.11
28.2;25.2
28.21;25.29
28.22;25.21
28.3;25.3
28.3;25.3
28.4;25.5
28.4;25.5
28.5;25.61
28.51;25.61
28.52;25.62
28.6;25.7
28.61;25.71
28.62;25.73
28.63;25.72
28.7;25.9
28.71;25.91
28.72;25.92
28.73;25.93
28.74;25.94
28.75;25.99
29;28
29.1;28.1
29.11;28.11
29.12;28.12
29.13;28.14
29.14;28.15
29.2;28.2
29.21;28.21
29.22;28.22
29.23;28.25
29.24;28.29
29.3;28.3
29.31;28.30.2
29.32;28.30.8
29.4;28.4
29.4;28.41
29.5;28.9
29.51;28.91
29.52;28.92
29.53;28.93
29.54;28.94
29.55;28.95
29.56;28.99
29.6;25.4
29.6;25.4
29.7;27.5
29.71;27.51
29.72;27.52
30;28.23
30;28.23
30.01;28.23
30.02;26.2
31;27
31.1;27.1
31.1;27.11
31.2;27.12
31.3;27.3
31.3;27.32
31.4;27.2
31.4;27.2
31.5;27.4
31.5;27.4
31.6;27.9
31.61;27.9
31.62;27.9
32;26
32.1;26.1
32.1;26.11
32.2;26.3
32.2;26.3
32.3;26.4
32.3;26.4
33;32
33.1;32.5
33.1;32.5
33.2;26.5
33.2;26.51
