60,Гектограмм,гг,hg,ГГ,HGM
161,Миллиграмм,мг,mg,МГ,MGM
162,"Метрический карат",кар,МС,КАР,CTM
163,Грамм,г,g,Г,GRM
166,Килограмм,кг,kg,КГ,KGM
168,"Тонна; метрическая тонна (1000 кг)",т,t,Т,TNE
170,Килотонна,"10^3 т",kt,КТ,KTN
173,Сантиграмм,сг,cg,СГ,CGM
181,"Брутто-регистровая тонна (2,8316 м3)",БРТ,-,"БРУТТ. РЕГИСТР Т",GRT
185,"Грузоподъемность в метрических тоннах","т грп",-,"Т ГРУЗОПОД",CCT
206,"Центнер (метрический) (100 кг); гектокилограмм; квинтал1 (метрический); децитонна",ц,"q; 10^2 kg",Ц,DTN
