110,"Кубический миллиметр",мм3,mm3,ММ3,MMQ
111,"Кубический сантиметр; миллилитр","см3; мл","cm3; ml","СМ3; МЛ","CMQ; MLT"
112,"Литр; кубический дециметр","л; дм3","I; L; dm^3","Л; ДМ3","LTR; DMQ"
113,"Кубический метр",м3,m3,М3,MTQ
118,Децилитр,дл,dl,ДЛ,DLT
122,Гектолитр,гл,hl,ГЛ,HLT
126,Мегалитр,Мл,Ml,МЕГАЛ,MAL
131,"Кубический дюйм (16387,1 мм3)",дюйм3,in3,ДЮЙМ3,INQ
132,"Кубический фут (0,02831685 м3)",фут3,ft3,ФУТ3,FTQ
133,"Кубический ярд (0,764555 м3)",ярд3,yd3,ЯРД3,YDQ
159,"Миллион кубических метров","10^6 м3","10^6 m3","МЛН М3",HMQ
