182,"Нетто-регистровая тонна",,-,,NTT
183,"Обмерная (фрахтовая) тонна",,-,,SHT
184,Водоизмещение,,-,,DPT
186,"Фунт СК, США (0,45359237 кг)",,lb,,LBR
187,"Унция СК, США (28,349523 г)",,oz,,ONZ
188,"Драхма СК (1,771745 г)",,dr,,DRI
189,"Гран СК, США (64,798910 мг)",,gn,,GRN
190,"Стоун СК (6,350293 кг)",,st,,STI
191,"Квартер СК (12,700586 кг)",,qtr,,QTR
192,"Центал СК (45,359237 кг)",,-,,CNT
193,"Центнер США (45,3592 кг)",,cwt,,CWA
194,"Длинный центнер СК (50,802345 кг)",,"cwt (UK)",,CWI
195,"Короткая тонна СК, США (0,90718474 т) [2*]",,sht,,STN
196,"Длинная тонна СК, США (1,0160469 т) [2*]",,lt,,LTN
197,"Скрупул СК, США (1,295982 г)",,scr,,SCR
198,"Пеннивейт СК, США (1,555174 г)",,dwt,,DWT
199,"Драхма СК (3,887935 г)",,drm,,DRM
200,"Драхма США (3,887935 г)",,-,,DRA
201,"Унция СК, США (31,10348 г); тройская унция",,apoz,,APZ
202,"Тройский фунт США (373,242 г)",,-,,LBT
