135,"Жидкостная унция СК (28,413 см3)",,"fl oz (UK)",,OZI
136,"Джилл СК (0,142065 дм3)",,"gill (UK)",,GII
137,"Пинта СК (0,568262 дм3)",,"pt (UK)",,PTI
138,"Кварта СК (1,136523 дм3)",,"qt (UK)",,QTI
139,"Галлон СК (4,546092 дм3)",,"gal (UK)",,GLI
140,"Бушель СК (36,36874 дм3)",,"bu (UK)",,BUI
141,"Жидкостная унция США (29,5735 см3)",,"fl oz (US)",,OZA
142,"Джилл США (11,8294 см3)",,"gill (US)",,GIA
143,"Жидкостная пинта США (0,473176 дм3)",,"liq pt (US)",,PTL
144,"Жидкостная кварта США (0,946353 дм3)",,"liq qt (US)",,QTL
145,"Жидкостный галлон США (3,78541 дм3)",,"gal (US)",,GLL
146,"Баррель (нефтяной) США (158,987 дм3)",,"barrel (US)",,BLL
147,"Сухая пинта США (0,55061 дм3)",,"dry pt (US)",,PTD
148,"Сухая кварта США (1,101221 дм3)",,"dry qt (US)",,QTD
149,"Сухой галлон США (4,404884 дм3)",,"dry gal (US)",,GLD
150,"Бушель США (35,2391 дм3)",,"bu (US)",,BUA
151,"Сухой баррель США (115,627 дм3)",,"bbl (US)",,BLD
152,Стандарт,,-,,WSD
153,"Корд (3,63 м3)",,-,,WCD
154,"Тысячи бордфутов (2,36 м3)",,-,,MBF
