54,"Тысяча квадратных дециметров","10^3 дм2",,"ТЫС ДМ2"
56,"Миллион квадратных дециметров","10^6 дм2",,"МЛН ДМ2"
57,"Миллион квадратных метров","10^6 м2",,"МЛН М2"
60,"Тысяча гектаров","10^3 га",,"ТЫС ГА"
62,"Условный квадратный метр","усл. м2",,"УСЛ М2"
63,"Тысяча условных квадратных метров","10^3 усл. м2",,"ТЫС УСЛ М2"
64,"Миллион условных квадратных метров","10^6 усл. м2",,"МЛН УСЛ М2"
81,"Квадратный метр общей площади","м2 общ. пл",,"М2 ОБЩ ПЛ"
82,"Тысяча квадратных метров общей площади","10^3 м2 общ. пл",,"ТЫС М2 ОБЩ ПЛ"
83,"Миллион квадратных метров общей площади","10^6 м2 общ. пл",,"МЛН М2. ОБЩ ПЛ"
84,"Квадратный метр жилой площади","м2 жил. пл",,"М2 ЖИЛ ПЛ"
85,"Тысяча квадратных метров жилой площади","10^3 м2 жил. пл",,"ТЫС М2 ЖИЛ ПЛ"
86,"Миллион квадратных метров жилой площади","10^6 м2 жил. пл",,"МЛН М2 ЖИЛ ПЛ"
87,"Квадратный метр учебно-лабораторных зданий","м2 уч. лаб. здан",,"М2 УЧ.ЛАБ ЗДАН"
88,"Тысяча квадратных метров учебно-лабораторных зданий","10^3 м2 уч. лаб. здан",,"ТЫС М2 УЧ. ЛАБ ЗДАН"
89,"Миллион квадратных метров в двухмиллиметровом исчислении","10^6 м2 2 мм исч",,"МЛН М2 2ММ ИСЧ"
