226,Вольт-ампер,В.А,,В.А
231,"Метр в час",м/ч,,М/Ч
232,Килокалория,ккал,,ККАЛ
233,Гигакалория,Гкал,,ГИГАКАЛ
234,"Тысяча гигакалорий","10^3 Гкал",,"ТЫС ГИГАКАЛ"
235,"Миллион гигакалорий","10^6 Гкал",,"МЛН ГИГАКАЛ"
236,"Калория в час",кал/ч,,КАЛ/Ч
237,"Килокалория в час",ккал/ч,,ККАЛ/Ч
238,"Гигакалория в час",Гкал/ч,,ГИГАКАЛ/Ч
239,"Тысяча гигакалорий в час","10^3 Гкал/ч",,"ТЫС ГИГАКАЛ/Ч"
241,"Миллион ампер-часов","10^6 А.ч",,"МЛН А.Ч"
242,"Миллион киловольт-ампер","10^6 кВ.А",,"МЛН КВ.А"
248,"Киловольт-ампер реактивный","кВ.А Р",,"КВ.А Р"
249,"Миллиард киловатт-часов","10^9 кВт.ч",,"МЛРД КВТ.Ч"
250,"Тысяча киловольт-ампер реактивных","10^3 кВ.А Р",,"ТЫС КВ.А Р"
251,"Лошадиная сила","л. с",,ЛС
252,"Тысяча лошадиных сил","10^3 л. с",,"ТЫС ЛС"
253,"Миллион лошадиных сил","10^6 л. с",,"МЛН ЛС"
254,Бит,бит,,БИТ
255,Байт,бай,,БАЙТ
256,Килобайт,кбайт,,КБАЙТ
257,Мегабайт,Мбайт,,МБАЙТ
258,Бод,бод,,БОД
287,Генри,Гн,,ГН
313,Тесла,Тл,,ТЛ
317,"Килограмм на квадратный сантиметр",кг/см^2,,КГ/СМ2
337,"Миллиметр водяного столба","мм вод. ст",,"ММ ВОД СТ"
338,"Миллиметр ртутного столба","мм рт. ст",,"ММ РТ СТ"
339,"Сантиметр водяного столба","см вод. ст",,"СМ ВОД СТ"
