383,Рубль,руб,,РУБ
384,"Тысяча рублей","10^3 руб",,"ТЫС РУБ"
385,"Миллион рублей","10^6 руб",,"МЛН РУБ"
386,"Миллиард рублей","10^9 руб",,"МЛРД РУБ"
387,"Триллион рублей","10^12 руб",,"ТРИЛЛ РУБ"
388,"Квадрильон рублей","10^15 руб",,"КВАДР РУБ"
414,Пассажиро-километр,пасс.км,,ПАСС.КМ
421,"Пассажирское место (пассажирских мест)","пасс. мест",,"ПАСС МЕСТ"
423,"Тысяча пассажиро-километров","10^3 пасс.км",,"ТЫС ПАСС.КМ"
424,"Миллион пассажиро-километров","10^6 пасс. км",,"МЛН ПАСС.КМ"
427,Пассажиропоток,пасс.поток,,ПАСС.ПОТОК
449,Тонно-километр,т.км,,Т.КМ
450,"Тысяча тонно-километров","10^3 т.км",,"ТЫС Т.КМ"
451,"Миллион тонно-километров","10^6 т. км",,"МЛН Т.КМ"
479,"Тысяча наборов","10^3 набор",,"ТЫС НАБОР"
510,"Грамм на киловатт-час",г/кВт.ч,,Г/КВТ.Ч
511,"Килограмм на гигакалорию",кг/Гкал,,КГ/ГИГАКАЛ
512,Тонно-номер,т.ном,,Т.НОМ
513,Автотонна,"авто т",,"АВТО Т"
514,"Тонна тяги",т.тяги,,"Т ТЯГИ"
515,Дедвейт-тонна,дедвейт.т,,ДЕДВЕЙТ.Т
516,Тонно-танид,т.танид,,Т.ТАНИД
521,"Человек на квадратный метр",чел/м2,,ЧЕЛ/М2
522,"Человек на квадратный километр",чел/км2,,ЧЕЛ/КМ2
534,"Тонна в час",т/ч,,Т/Ч
535,"Тонна в сутки",т/сут,,Т/СУТ
536,"Тонна в смену",т/смен,,Т/СМЕН
537,"Тысяча тонн в сезон","10^3 т/сез",,"ТЫС Т/СЕЗ"
538,"Тысяча тонн в год","10^3 т/год",,"ТЫС Т/ГОД"
539,Человеко-час,чел.ч,,ЧЕЛ.Ч
540,Человеко-день,чел.дн,,ЧЕЛ.ДН
541,"Тысяча человеко-дней","10^3 чел.дн",,"ТЫС ЧЕЛ.ДН"
542,"Тысяча человеко-часов","10^3 чел.ч",,"ТЫС ЧЕЛ.Ч"
543,"Тысяча условных банок в смену","10^3 усл. банк/ смен",,"ТЫС УСЛ БАНК/СМЕН"
544,"Миллион единиц в год","10^6 ед/год",,"МЛН ЕД/ГОД"
545,"Посещение в смену",посещ/смен,,ПОСЕЩ/СМЕН
546,"Тысяча посещений в смену","10^3 посещ/смен",,"ТЫС ПОСЕЩ/ СМЕН"
547,"Пара в смену",пар/смен,,ПАР/СМЕН
548,"Тысяча пар в смену","10^3 пар/смен",,"ТЫС ПАР/СМЕН"
550,"Миллион тонн в год","10^6 т/год",,"МЛН Т/ГОД"
552,"Тонна переработки в сутки","т перераб/сут",,"Т ПЕРЕРАБ/СУТ"
553,"Тысяча тонн переработки в сутки","10^3 т перераб/ сут",,"ТЫС Т ПЕРЕРАБ/СУТ"
554,"Центнер переработки в сутки","ц перераб/сут",,"Ц ПЕРЕРАБ/СУТ"
555,"Тысяча центнеров переработки в сутки","10^3 ц перераб/ сут",,"ТЫС Ц ПЕРЕРАБ/СУТ"
556,"Тысяча голов в год","10^3 гол/год",,"ТЫС ГОЛ/ГОД"
557,"Миллион голов в год","10^6 гол/год",,"МЛН ГОЛ/ГОД"
558,"Тысяча птицемест","10^3 птицемест",,"ТЫС ПТИЦЕМЕСТ"
559,"Тысяча кур-несушек","10^3 кур. несуш",,"ТЫС КУР. НЕСУШ"
560,"Минимальная заработная плата","мин. заработн. плат",,"МИН ЗАРАБОТН ПЛАТ"
561,"Тысяча тонн пара в час","10^3 т пар/ч",,"ТЫС Т ПАР/Ч"
562,"Тысяча прядильных веретен","10^3 пряд.верет",,"ТЫС ПРЯД ВЕРЕТ"
563,"Тысяча прядильных мест","10^3 пряд.мест",,"ТЫС ПРЯД МЕСТ"
639,Доза,доз,,ДОЗ
640,"Тысяча доз","10^3 доз",,"ТЫС ДОЗ"
642,Единица,ед,,ЕД
643,"Тысяча единиц","10^3 ед",,"ТЫС ЕД"
644,"Миллион единиц","10^6 ед",,"МЛН ЕД"
661,Канал,канал,,КАНАЛ
673,"Тысяча комплектов","10^3 компл",,"ТЫС КОМПЛ"
698,Место,мест,,МЕСТ
699,"Тысяча мест","10^3 мест",,"ТЫС МЕСТ"
709,"Тысяча номеров","10^3 ном",,"ТЫС НОМ"
724,"Тысяча гектаров порций","10^3 га порц",,"ТЫС ГА ПОРЦ"
729,"Тысяча пачек","10^3 пач",,"ТЫС ПАЧ"
744,Процент,%,,ПРОЦ
746,"Промилле (0,1 процента)",промилле,,ПРОМИЛЛЕ
751,"Тысяча рулонов","10^3 рул",,"ТЫС РУЛ"
761,"Тысяча станов","10^3 стан",,"ТЫС СТАН"
762,Станция,станц,,СТАНЦ
775,"Тысяча тюбиков","10^3 тюбик",,"ТЫС ТЮБИК"
776,"Тысяча условных тубов","10^3 усл.туб",,"ТЫС УСЛ ТУБ"
779,"Миллион упаковок","10^6 упак",,"МЛН УПАК"
782,"Тысяча упаковок","10^3 упак",,"ТЫС УПАК"
792,Человек,чел,,ЧЕЛ
793,"Тысяча человек","10^3 чел",,"ТЫС ЧЕЛ"
794,"Миллион человек","10^6 чел",,"МЛН ЧЕЛ"
808,"Миллион экземпляров","10^6 экз",,"МЛН ЭКЗ"
810,Ячейка,яч,,ЯЧ
812,Ящик,ящ,,ЯЩ
836,Голова,гол,,ГОЛ
837,"Тысяча пар","10^3 пар",,"ТЫС ПАР"
838,"Миллион пар","10^6 пар",,"МЛН ПАР"
839,Комплект,компл,,КОМПЛ
840,Секция,секц,,СЕКЦ
868,Бутылка,бут,,БУТ
869,"Тысяча бутылок","10^3 бут",,"ТЫС БУТ"
870,Ампула,ампул,,АМПУЛ
871,"Тысяча ампул","10^3 ампул",,"ТЫС АМПУЛ"
872,Флакон,флак,,ФЛАК
873,"Тысяча флаконов","10^3 флак",,"ТЫС ФЛАК"
874,"Тысяча тубов","10^3 туб",,"ТЫС ТУБ"
875,"Тысяча коробок","10^3 кор",,"ТЫС КОР"
876,"Условная единица","усл. ед",,"УСЛ ЕД"
877,"Тысяча условных единиц","10^3 усл. ед",,"ТЫС УСЛ ЕД"
878,"Миллион условных единиц","10^6 усл. ед",,"МЛН УСЛ ЕД"
879,"Условная штука","усл. шт",,"УСЛ ШТ"
880,"Тысяча условных штук","10^3 усл. шт",,"ТЫС УСЛ ШТ"
881,"Условная банка","усл. банк",,"УСЛ БАНК"
882,"Тысяча условных банок","10^3 усл. банк",,"ТЫС УСЛ БАНК"
883,"Миллион условных банок","10^6 усл. банк",,"МЛН УСЛ БАНК"
